;ResponseId;deception;deception_coded
3;R_33eBqLAmc34mxV0;no;no
4;R_3oGTWGKBXr0CgsZ;No, I did not.;no
5;R_5ELOnvC8rQiwTlL;No;no
6;R_8fK232ReFGQwSlX;I suspect this isn't an actual radio show. ;yes
7;R_5NnxfO45rqtP1C1;;NA
8;R_74lKANudWBO3FyV;No, not really.;no
9;R_2MTiXfIpsajnGxr;I assume the script was written by the investigators.;yes
10;R_77Yono7jBkiFNjb;;NA
11;R_7M5JLJeaOU6xC6h;No.;no
12;R_6eldy3WP9JsBYGW;;NA
13;R_2E7hhm7JgcTPpxL;no;no
14;R_1XmqidvV2AmWh58;no;no
15;R_7S82WFcbphjZPpP;;NA
16;R_7kpHozsq2jukzRi;I think the most important part was the slider for republican vs democrat at the begging and the end.;no
17;R_3NCF5brgG29vUkr;No ;no
18;R_2Umyxn0pDIdxwqJ;;NA
19;R_3JtenaVF0TcwUlH;;NA
20;R_2kLBHQIX6oIABfn;;NA
21;R_7Y37TG1YLqbjspx;No;no
22;R_272JStxtEQkrSsL;Yes. No way in hell was that a real transcript. ;yes
23;R_1GxgnrtA400g8oh;no;no
24;R_5Pvf9ARrunVSoV1;I assume it's not a transcript at all, but was written by the researcher ;yes
25;R_308IA3dCZ5bqG53;No, was I?;no
26;R_2GWCvVJoJWeXZdd;No;no
27;R_2BTi8CqhKRps4yB;No;no
28;R_3iWyyeuMaJphh5v;No;no
29;R_21bpcPyvGS6axr3;no;no
30;R_15kV4iZWAjKT1fj;No;no
31;R_7d4Dlj2NudfH8R7;no;no
32;R_5n00zDQEhfbNvGw;Maybe,it’s probably not a real radio show;yes
33;R_27VELn1ee6eb3cB;;NA
34;R_5wFIyxft3EYYnVT;I didn't suspect, but now I wonder if the transcripts were from real people.;no
35;R_1B2TWHHg8aXkKYv;"not really, but I definitely feel like you'll look at my own self-reported pol;itical leanings and use it to confirm your hypothesis about my responses";no
36;R_57jR8tmvDXpAqGp;No;no
37;R_7CZqc1IdtIkOjDu;Possibly. A lot of media proports to be less scripted than it is.;yes
38;R_2Mg5TitdQfDfWNr;no;no
39;R_2QZZuhqAu4W8wrn;no;no
40;R_5aDAmpf6r0ypXix;No.;no
41;R_5S0pSj5349tTZ5W;no;no
42;R_7MnswACd2Ia6U6Z;yes;yes
43;R_3gXuMzmluA3hdBL;none;no
44;R_5h9kISl5PnoTzvX;I did not suspect that I was deceived.;no
45;R_5dHpog4TpUAx65X;;NA
46;R_59mNBbGBrvslBcy;Probably ;yes
47;R_7Ja7hBenzLIQQmM;maybe, reasonable Republican?  Never heard of one.;yes
48;R_2QFfKHBFevDqNut;likely;yes
49;R_3H8qjAoB9B2fYxL;N/a;no
50;R_6wmNKR5lCduztMJ;no;no
51;R_7Po5RJhYqgY91nl;no;no
52;R_2hG6mI8dUmNVLqU;I don't think so;no
53;R_5Br3imy0J1zzGv7;I wouldn't be surprised if the conversation was AI generated;yes
54;R_3DKcAhhHVwCJTEZ;probably;yes
55;R_1DvAWHcgPERZgQm;nope;no
56;R_30PwJchDGGFPxx6;Not really;no
57;R_7mat4AzE1ku4Gwu;;NA
58;R_2I4PnkrZA6FxY3A;Yes, I generally don't believe everything I read or hear.;yes
59;R_1gI2BMsdJSylDux;No;no
60;R_5E6YpGKQLnXMlMa;I suspect it wasn't exactly true that more and more dems are leaning toward second amendment rights;yes
61;R_7PYmavabP5oMxcY;not necessarily;no
62;R_72sqnOBuiqmk0UY;Not at all;no
63;R_6xG7sjxs6MFhaMN;No;no
64;R_1Q7MnbltFyzImVb;Not sure;no
65;R_3xDXo4zAb3y4aip;yes;yes
66;R_5QJRRd49YjkmPys;;NA
67;R_7YeDd8ca6dHXMVX;it crossed my mind as a possibility, but i just answered based on the information presented;yes
68;R_52VRHymxCzu4JuF;there's a chance the participants were plants by the radio station and not members of the general public;yes
69;R_3KVFeURDvlCF3b3;I don't know. It was an interesting study. Maybe you just wanted answers and there is no radio show in the works.;yes
70;R_5JjV1euajMGJgN8;no;no
71;R_5oyFTSaf1Xpd7sl;no. no deception at all.;no
72;R_2pE9qWjkQxnHQvT;not sure;yes
73;R_5JhpxLEEGHKKgvv;not at all;no
74;R_3qT5ZbxTmfwa8PT;No;no
75;R_2nBnHJiBrbU9gLH;not really;no
76;R_2dvfEQ38CBDSRdO;no;no
77;R_3fZcXaPIClfMC84;Not particularly but I just took it at face value. ;no
78;R_2fvB99na9jOC1Dr;no;no
79;R_3Yib89mNi7sGaYN;No.;no
80;R_1IYhVWTphHMyQWk;No;no
81;R_2fHGXTccdZRv36i;;NA
82;R_7LbhY7cGLGBbC1r;No ;no
83;R_5X6DhVjkvO5b1V6;no;no
84;R_1LpNysG5LbRnX9p;No;no
85;R_20ZNn1ZJ2hT0kDc; I didn't believe that this was an actual radio show transcript.;yes
86;R_3s9O6Mo7yxZGyeR;;NA
87;R_5UqBOj22bbrF2nv;No;no
88;R_2q8xL49LdxCITqB;No;no
89;R_5NxNKz5xhI6lKTs;no;no
90;R_1IR9LEO1mCw8JiM;Not that I could tell;no
91;R_5nGec3713v6HSKt;no;no
92;R_31udE6MBOhVokCc;No;no
93;R_7zTnLGSYMeqA02Z;i dont think so;no
94;R_3334iLcBOFeyelw;No;no
95;R_3OwZ7dM73lsnFU0;No;no
96;R_1uNa0fJZoWlhzZD;no;no
97;R_5Aoz3yD1aLuWw7v;;NA
98;R_2gNqP3FXPSCxpQF;probably;yes
99;R_5C3GTWXxTi8gCWf;no;no
100;R_5mpZ3T8nPdWBiag;Did not suspect anything;no
101;R_51FaK4hF5nVj6gS;No;no
102;R_1OB7sLwEwHFBkFi;no;no
103;R_3lM58e7kW7QU7Ju;no;no
104;R_2zAV7nDY64nFUyt;no, it seemed the purpose was to see if the participant would change their views on republicans or democrats after reading the transcript;no
105;R_6PFzWwkZbsPaw8M;;NA
106;R_2lWhndb5p7LkAfM;No;no
107;R_2QrFs3QPRQrzRVV;I have no suspicions. ;no
108;R_5CecNSSQLqNlZGm;no;no
109;R_2sywXUivNJRprFJ;No;no
110;R_2YhmTLZiaVu0ynv;not really;no
111;R_7cwHHIGm0AWGkP7;"Possibly-think some questions that are typically considered ""democratic"" or ""republican"" might actually be from the opposite party.";yes
112;R_7wn5kiAJRw6w7OF;not at all.;no
113;R_7l49lupqzCrd3G1;no;no
114;R_1lMvdjiMYg1H1yC;;NA
115;R_2DV3lSXuF9W3Hms;no;no
116;R_2ifJrWgpUAw8ftR;No;no
117;R_7cHNgHwy75Dqhah;No.;no
118;R_3pY7EuydfLNJ8tq;;NA
119;R_110meMwwLvGuS89;Probably ;yes
120;R_7ygvfdBY8GS4X9d;No;no
121;R_1n2xq50L4VFRx8N;No;no
122;R_5OhAWpu4lxbGjnz;No, I did not suspect anything ;no
123;R_3r9yz2T3lrQrOhu;A little.  I was fed the stereotypes of Democrats and Republicans.;yes
124;R_7ago6l2QeZ9PhGV;Likely, but unsure of what specifically. ;yes
125;R_1UbmzJbJ3SMlS9n;no;no
126;R_51Lyw8gfY58mf7t;maybe! we never really know your hypothesis, and that's fine, but best wishes on your research :)!!;yes
127;R_2fwYQnZ0Gpl5PzU;I wonder if the radio transcript was AI generated.;yes
128;R_2PnLItfYtAijlAJ;probably;yes
129;R_2p6lYNlgNChSINR;No;no
130;R_5iVfNtkD9Sp9PxK;No.;no
131;R_32XGq3VeOARMI2q;No;no
132;R_17Qf4jDoHBTXHxv;No;no
133;R_5T4PYIfforHUq8p;No;no
134;R_5zCIjRwK5wpWdX3;I doubt this was a real transcript.;yes
135;R_2IzwyMtwQcw6FWe;Not really;no
136;R_5fX5s1SqBfTy6aZ;Maybe;yes
137;R_59OdzIGPSIpYKQ1;No.;no
138;R_5TclnNnt8S2yGoV;It's possible that the transcript was made up;yes
139;R_5ju7s9KSIIzpHsB;no;no
140;R_2zXYmxP6vV6a0s9;made up responses/people;yes
141;R_296BG4oEYO3Ut3z;;NA
142;R_2lIVYqtU7VHd0HL;No;no
143;R_2Sd5rnXMja6NF6h;;NA
144;R_3V1NBdCeoOMisYV;I suspect the transcript might be AI generated.;yes
145;R_1hbTg6OfjCghy9C;No;no
146;R_1Rax0kd9tzNDKs3;;NA
147;R_2hBNEJ7QzhMvm25;No;no
148;R_5Du9ZC7bnZci7kV;No;no
149;R_2mxceJ5MKzTMlCb;"The ""right leaning"" person wasn't really all that right leaning. ";yes
150;R_797cvevvKTYXaKd;No;no
151;R_2t9BF9kaO3aJS93;maybe there is no actual radio show.;yes
152;R_6vZYjWHPKXF0vFx;No;no
153;R_5Sc1mEAEOht71ex;no.;no
154;R_5M4fQBAyCRUYFGN;No;no
155;R_1I457qLBK7tlUJF;No I do not think I was deceived.;no
156;R_3pLO2HDDpW8tznX;No;no
157;R_70wJ9ipHJCBkOi0;None;no
158;R_2KkDZYxGGoDUJDj;It seems like this studies is suggesting that gun control isn't as important for democrats as I was assumed.;yes
159;R_1JLZfn97sBq2KeL;no;no
160;R_5LijAaxGYy2ctdd;no;no
161;R_1VsgyVwUkzHrZII;no;no
162;R_5zNhgKEBOyrvHPc;Not really... I'm assuming it was to see if one's perception of how divisive topics are between parties would shift after reading more nuanced opinions.;no
163;R_1tFkdc9OGV56XC3;no;no
164;R_78CNu8fZ9zOJogF;no;no
165;R_22LBXvOMmP9A2nC;;NA
166;R_5rl0hoAHD5Wj6Eh;NO;no
167;R_5TxDIYskmln1KuZ;No;no
168;R_2y1L4CkF0TCyqBH;No, although I'm sure it is trying to sway opinion one way or another.;no
169;R_74UbLgvbd6OmPlL;no;no
170;R_7j7mCeAUQlZyZkO;not really other than it probably is not a real show;yes
171;R_1BzB77ekrsAXQ95;nope;no
172;R_11iP4nsJWQMD434;Probably, I wasn't buying the Democrat's position on climate change.;yes
173;R_3P82zT9AWoBCc1O;I assume that it's not a real radio show.;yes
174;R_5pPrrOSCZao6Km5;no;no
175;R_3WOmBhRPhLbIOWY;none;no
176;R_8OulQEQ4MOiFmaB;no;no
177;R_5dgr0xv5plcgNIp;No;no
178;R_81BfHqy5zA2lhoJ;No;no
179;R_32sCdXvDg0vEQNn;No;no
180;R_3DwAQKOlQSepJsJ;No;no
181;R_596gKrGI0DOIaqJ;Not sure, but I don't believe so. ;no
182;R_3n9qtiBwYZgMyv3;I don't think an actual conversation between two opposed parties would include such straightforward dialogue.;yes
183;R_5MDy0C4M1BVVGlq;no;no
184;R_5yja1T2WVH8zVLc;n/a;no
185;R_7E0wBYkVYuWOTDO;Yes;yes
186;R_3mlxNklrEOCz1JE;NO;no
187;R_1j6tnCC8RufmOgq;No;no
188;R_2j1bk6Kv6ubBOa1;no;no
189;R_1GuWHlmAJkKmG6a;No, I didn't feel that;no
190;R_5LHZ6DIDIq3FLqN;I didn't suspect that I deceived about aspect of the study except, perhaps in reflection, the new radio show format was just a way to convey information. ;no
191;R_4ZQNPuqA2l12lhL;now I do;no
192;R_51Kw8ecb3uxc37M;No;no
193;R_2Rmxvvn9RnYTl6A;no;no
194;R_1odeGNpQwHqONoZ;no;no
195;R_5I5zWsafppchD11;no;no
196;R_50J01HpScr0ml8Z;No.;no
197;R_5O1xDzTSMmO5BdI;No;no
198;R_7sd4ig2ZpoCDjnT;I think the whole radio show thing was made up.;yes
199;R_2OawuFzlGS461hf;No;no
200;R_7w4c4oHOejupI7O;No;no
201;R_5Einqd36v6MhQ2V;;NA
202;R_2Uz900VYSo2NXHj;Yes;yes
203;R_3aRGfqUepvt3xn9;yes;yes
204;R_2L4IF7yz5sTrr6Z;no;no
205;R_7F5MYbkxHLZoNs1;No please.;no
206;R_1tvgKKwWtoeBDgd;No.;no
207;R_20CW7RosbKuGuOb;No I did not;no
208;R_1ltf5A4DNxtetxf;no;no
209;R_3NrzrC7KQtyV7wU;no;no
210;R_2LTftEdBHXz7tbw;I dont think this is a real radio show—too short of transcripts;yes
211;R_21GEjwnubI8U7Xr;no;no
212;R_2HThpV2rMWaKAXT;;NA
213;R_2prpiep0mqRE7p8;No;no
214;R_7fTAoq3uDYNggLg;;NA
215;R_2oo6JOs9DFQUsce;no;no
216;R_7g56MZjhaGmULoX;Not at all.;no
217;R_1yFxiTuI9mYAKQh;;NA
218;R_3P5bvbe4P1t503s;No;no
219;R_5pN1KhycfWl0iCR;no;no
220;R_3Fzhn6xMuzkBYKR;No;no
221;R_5PmD3nxJ3OE0wFf;I don't think so? But I wasn't going into it thinking I would be, so I wasn't looking for discrepencies. ;no
222;R_3IfTutcyBjm6bHd;No I did not;no
223;R_5LTN4yhqc9Ys9j4;No I did not;no
224;R_7O0qKIxemlKGPfM;;NA
225;R_1e8Y5ldxS3yDf1R;;NA
226;R_5l9mjxsdHyfeN38;no;no
227;R_36yl0L68O9EXg9b;;NA
228;R_7th2ubxCU2Nz5Ml;No;no
229;R_2hAx8m2gUP2IOdz;No;no
230;R_3shPI8uZB4ggtez;;NA
231;R_1qkDqJoh8eOpVdd;No, I don't feel like I was deceived.;no
232;R_2kYwRixNKIn88gI;;NA
233;R_5FLJ0uquZMvvU1H;no;no
234;R_222PdAkmfyXkodx;No;no
235;R_1MWFoa2v7rFAOpO;No;no
236;R_4YfxaET9KDQeocN;none;no
237;R_72Lgi88iTH7zpCh;No.;no
238;R_20kuOrCnL8DTvbG;I don't think so. ;no
239;R_1WoO539XHjUstvb;no;no
240;R_4SGhpMBLC1duRrW;no;no
241;R_3IZ4l6WgqniWsA6;yeah! but  I cant really tell which aspect though;yes
242;R_7BePdHPebhF2TSv;No;no